S1-Left,S2-Left,S3-Left,S4-Left,S5-Left,S6-Left,S7-Left,S8-Left,S9-Left,S10-Left,S11-Left,S12-Left,S13-Left,S14-Left,S15-Left,S16-Left,S17-Left,S1-Right,S2-Right,S3-Right,S4-Right,S5-Right,S6-Right,S7-Right,S8-Right,S9-Right,S10-Right,S11-Right,S12-Right,S13-Right,S14-Right,S15-Right,S16-Right,S17-Right
2.96049248453465,4.21734593182368,-4.28643394898778,-6.66921887532889,-4.3689524959905,-4.21246281871265,-0.434294681755497,2.09353642273752,3.42240664056673,3.68370391693778,-1.22840194753907,-3.17592573156406,1.35299481211216,-4.57020064010007,3.42885354900774,-3.15343869903926,-6.40665675706111,5.21412125017279,4.34788676442477,-5.61046124952413,-4.62152199523482,-7.75795896798284,-2.38194087434909,0.904911976822836,2.32582437017088,0.978294513175145,3.79893983001652,1.90749595910139,-1.87697459213562,2.0557038325146,-3.71291172987447,0.604954957822582,0.992860450604829,-3.4017789831156
2.08448131047997,4.1252532075839,-4.72226000161639,-7.69213051875277,-5.57913494034713,-4.30952735806217,-0.265926930076718,1.74528855539086,2.85635776832535,3.19012284491616,-1.40511635000784,-4.08440556937391,0.133800486506321,-5.89306630861709,2.43121410393137,-3.96095613302826,-7.7140145406875,4.40889824760957,4.21218550474057,-7.02691146347115,-5.33334709969446,-8.98644302041176,-2.84167299025605,0.797756209267979,1.83242543950276,0.43287339546025,3.73439060607197,1.55345518826863,-2.52660297547432,0.438967760905935,-4.44931846760181,-0.293812553863423,-0.14268228550013,-4.74035644686681
0.664499037601099,2.81775946360457,-5.54609537442059,-9.09721087384667,-7.75997831432432,-4.6580666933645,-0.883288890525887,0.733145389412664,1.40279356767214,1.3022396115008,-1.80922525181555,-5.26531894472549,-1.0078395775203,-7.78375815539715,0.558944951468432,-5.93868126205844,-9.1119465995731,3.60895674322426,2.91297658823067,-8.62076959022615,-6.56777189270104,-10.8323184086243,-3.50063970980183,0.144719871270639,0.794652786417213,-0.641333659079496,2.32140991504228,0.813972493370441,-3.35436560439642,-1.03364107792423,-6.07431634976937,-1.87630135424746,-1.88660830010666,-5.9132207344405
-1.54094508851935,0.152787182471365,-7.17960385287945,-12.3801481684632,-10.6403758034321,-5.58760800848791,-3.82608418456984,-0.821659607199746,-1.43734752492952,-1.8907694169436,-3.90018460993235,-7.14866421723327,-2.29014278988877,-10.214780595393,-2.70688706284082,-8.77852549395204,-10.8359789274502,1.89020866484623,0.438922847507073,-10.8086801289678,-9.34610047855702,-13.0710936091342,-4.96710080030805,-2.57230287614982,-0.890899348859988,-3.07663768933827,-0.980073060437551,-1.93412928388665,-5.4697040013932,-2.57041495078397,-8.66340801846209,-4.72189903873386,-4.38015291512796,-7.49023949670735
-3.92968856671672,-2.0722065020503,-9.29882124461662,-15.3350602431147,-12.7721517844335,-6.34119767474927,-7.22826816811347,-2.72796895675398,-3.77736865651986,-4.05586234580757,-6.8882455148828,-9.07237338587896,-3.59300828360441,-12.0411929852411,-5.9395693131143,-10.3822356885151,-12.6874631977542,-0.465044820560666,-1.5220048179953,-13.2340543375678,-12.121208271692,-14.7066289533961,-6.13866709289918,-5.79556710672463,-2.94615402489428,-5.16144094609514,-3.26355266320639,-4.89382536894132,-8.28790909873,-4.25173595698718,-10.7163645153774,-6.97069964297497,-5.56675317042654,-9.61877954223083
-5.75073490097533,-2.68250101739662,-11.0276035793429,-17.231973830455,-13.8771465423451,-6.37903846613699,-9.22614856115145,-4.58414545937581,-4.89145713078595,-5.16708348109646,-8.19884079793803,-10.9691508869637,-4.6838770925206,-12.4204536568133,-8.01849360138861,-10.889419276716,-14.3362081701536,-2.51604174201514,-2.25253705956466,-15.4712693460165,-14.2852118983456,-15.5231036668295,-6.74917502719023,-7.71500731350283,-5.00384338006888,-6.22844769416955,-4.15874259832622,-6.03231052380514,-11.082341633899,-5.64015518611905,-10.9573361661326,-7.85459538476152,-5.98440790386964,-11.6917760065381
-6.53682926414672,-2.94745865701287,-12.1597085406123,-18.5339718515524,-14.140424932698,-5.84338618096997,-10.5386140662672,-5.57985337979037,-5.53774986532086,-5.68860713732854,-8.56399007712781,-12.491090163517,-5.18129420618589,-12.049460536454,-8.53069824303003,-11.1543143664379,-15.5369216054354,-3.62709060838177,-2.52969808840947,-16.8046174938503,-15.7263577871416,-15.5166313232814,-6.67797677634938,-8.69058670019771,-6.60455800753542,-6.64899123671611,-4.54407490983182,-6.26994368557912,-13.1934732411322,-6.36492975691054,-10.1652062636953,-8.11101862192145,-6.27486334451078,-12.8248672592341
-6.57641373629812,-3.29215935699549,-12.8252453046252,-19.3407710745397,-13.7955016074688,-5.05458182730668,-10.7004548425576,-5.8757173760794,-5.68910025424742,-5.95387886026867,-8.53665978619921,-13.3067705070388,-5.04492073396759,-11.0948216239567,-7.74220961525653,-11.3066133020029,-16.020668791089,-4.19020823784436,-2.86458750384281,-16.7509437273405,-16.3100386732372,-15.1126767719309,-5.9003993966744,-8.70239687489466,-7.17519951522513,-6.27388741435465,-4.60314675728641,-6.37477995854928,-14.4291553431591,-6.24718346051952,-9.0009948195658,-7.75052899686983,-6.50760236313478,-13.0498895735091
-5.80605395097933,-3.45292121757599,-12.3216730126837,-19.3942288450319,-13.1079146490385,-3.87372065298657,-9.66647879544232,-5.93061771129889,-5.25124529200382,-5.9428531751044,-8.26391185348635,-13.5084221913341,-4.16926771569695,-9.64212067122453,-6.32661805385144,-10.9159244865349,-15.7594795214294,-4.12722377398488,-3.0978323119186,-15.5447980112222,-15.9643030793547,-14.4498536493971,-4.77166250158793,-7.75193191450584,-7.25970203725952,-5.37763415112911,-4.49598028298629,-6.40337957796482,-14.9390888907221,-5.14397328728013,-7.7570567077859,-6.67148047875415,-6.12576655781587,-12.4191154080351
-4.48640651257849,-3.2018128206362,-11.2327338629562,-18.4381898369589,-12.3635932968393,-2.58487803186061,-8.13091986342383,-5.71074929486203,-4.67528906949343,-5.42816483577659,-7.53769588334842,-13.1285973518608,-2.83545239880407,-8.46719930507846,-4.75714219133041,-10.016685616928,-14.7480363792302,-3.44134035327492,-2.97639406109359,-14.2627928396029,-14.993429982493,-13.5482893050408,-3.62889536691265,-6.30490844728014,-7.08030099864234,-4.44618817107812,-4.27629224936267,-6.12750548635103,-14.7712499217813,-3.53858616739137,-6.7162257349211,-5.27996402344659,-5.24222253962063,-11.2171266568387
-3.17684217253233,-2.82483285116969,-10.1427483269208,-17.3199810594332,-11.783512241738,-1.4099227425491,-6.70385965002973,-5.19533460198304,-4.09866336741658,-4.70806973806642,-6.64588402218826,-12.242924096822,-1.37848990980399,-7.63723902916923,-3.26439035658784,-9.08494179784858,-13.5618803990953,-2.64764556951077,-2.58578218084592,-13.0550944494276,-13.9353015395296,-12.752924225905,-2.674640362165,-4.96398127426954,-6.51153784367548,-3.72002172924401,-4.03008359084502,-5.51305039587232,-14.1175328708055,-1.88553925956832,-5.98754953942791,-4.0332028666048,-4.34562390107187,-10.0562080008415
-1.95311904454105,-2.36217392906728,-8.99267898019619,-16.3777648038884,-11.336886722464,-0.452714069508836,-5.4765444090434,-4.54970149151854,-3.54513333219558,-3.9244163646767,-6.00076143349652,-11.209351527718,-0.0192010969781955,-6.96587998938881,-1.97985667449801,-8.1852531292798,-12.5549505980329,-1.94294864183098,-2.04450589989368,-11.9045218902309,-12.906316929182,-12.3088129418674,-1.97421987130595,-3.8676134685763,-5.7352417766668,-3.13501156201384,-3.75414416762316,-4.92423037185306,-13.3022102876539,-0.319869881839319,-5.39679504069865,-3.0357995108655,-3.52990384258348,-9.24378376000903
-0.854895930421951,-1.85707532549799,-7.94226760552666,-15.5575876927988,-10.9784549543243,0.31680574269588,-4.51805775088901,-3.85956564646347,-2.97327663103331,-3.15172114443872,-5.47664390829786,-10.2098499527926,1.09357125972522,-6.36374155820868,-0.963032230829411,-7.28267816684126,-11.7039711693098,-1.20193256852315,-1.49389820690665,-10.9350984003209,-12.1468321912745,-12.1145017079359,-1.47486027682115,-3.02445447745661,-4.93748262947708,-2.59287108276563,-3.51637884395272,-4.39757871639876,-12.5412713868041,0.913847526048482,-4.80976769396393,-2.25604396006402,-2.7888746737318,-8.68894707592153
