S1-Left,S2-Left,S3-Left,S4-Left,S5-Left,S6-Left,S7-Left,S8-Left,S9-Left,S10-Left,S11-Left,S12-Left,S13-Left,S14-Left,S15-Left,S16-Left,S17-Left,S1-Right,S2-Right,S3-Right,S4-Right,S5-Right,S6-Right,S7-Right,S8-Right,S9-Right,S10-Right,S11-Right,S12-Right,S13-Right,S14-Right,S15-Right,S16-Right,S17-Right
23.7688454296843,25.2083929072592,27.799071469213,24.0583012526671,23.7949091526677,31.2255640123877,28.4588944890755,23.5190371723876,27.2813279146751,27.2372256724705,24.0539868457584,25.4847880692596,30.0791810399439,24.8384771977187,22.0776724392259,28.7290317602266,23.1221392095257,26.1626856319423,24.1438966562182,25.0838972016103,22.325446367501,24.3310045069665,27.0431464355476,30.7118131647557,20.2696411319046,24.203370476704,26.2210601167538,24.9253720998932,23.7699502190506,28.3608910047644,28.3448037230713,26.2995726435859,29.402063227384,23.803171657833
24.0745949253514,25.6114263227429,28.2375956766397,23.8558417896048,23.2765072682892,31.4192866916507,28.9260325143089,23.884217184174,27.6809094752071,27.3637036926264,24.3169298551724,26.0865014205635,30.3701527272122,24.5138619051586,22.2190619932279,28.9596918289058,22.9602729620963,26.6199792700073,24.4741515306315,25.4717380273021,22.5166800456788,24.1137236630931,27.4676279154211,31.1681892427353,20.7613674771505,24.6920924293152,26.3793224155643,24.9175276601265,23.9898722573299,28.7440344476709,28.1697650865889,26.782796406417,29.5828052452372,24.0426076629016
24.2760647682526,25.8688632268134,28.4552018321559,23.625999392979,22.5010841454153,31.5900230740149,29.2188407584112,24.0032057862703,27.9155337317153,27.2837374089937,24.6543904018576,26.5890271959228,30.5505912516182,24.1258726099438,22.235878683677,28.9100562712542,22.6015186517222,27.1142195036264,24.7358495656685,25.644876301797,22.5766600007516,23.6226406539188,27.7649733352916,31.4130182910635,21.1259855593752,25.0542035034137,26.3551961974611,25.0513745617307,24.0166990332046,29.1298142557592,27.857959889924,27.1206747973226,29.5378720794003,23.9960065800962
24.2197297285443,25.9827914319962,28.3703184313567,23.2047733430454,21.4598846259222,31.7012526037248,29.2221585412038,23.7671162525495,27.8752740531804,27.006657778329,24.958866971356,26.7871822211668,30.6320392115031,23.7302283474809,22.0490104017125,28.5638087898814,21.9637234527555,27.4252721578864,24.9066490757582,25.5881585028506,22.4188331754778,22.807093887128,27.8677664448633,31.3317573033607,21.1313223739816,25.2107801709062,26.1410928290164,25.1958071745789,23.6283164635333,29.4828629931819,27.4508627868492,27.2506377195773,29.2738829822028,23.6432737740779
23.880368552317,25.9442362381248,27.9537131767805,22.568474075868,20.2761744187638,31.7194213512094,28.8351053147783,23.1103493265993,27.5878444641523,26.5191259831644,25.0659000844882,26.4944617346878,30.5848023974807,23.4108955381127,21.6492729790101,28.2382467044201,21.0199088948622,27.3965955398238,24.9395961784699,25.2583444129976,21.8820025766568,21.7806772186483,27.7635306546601,30.9136985812261,20.6357939542554,25.1229154826726,25.681779520263,25.1811553797075,22.7211781414625,29.6560958489672,27.0618111888912,27.2012885154679,28.9438874047194,23.0252321814791
23.4636461706732,25.9020643995362,27.4075298657025,21.9771774775256,19.2088015568857,31.6159301991395,28.1172454192175,22.3076403092137,27.2976568458788,26.110530850751,24.9072892132401,25.7814255603128,30.2938845146922,23.2818764033625,21.1744167191523,28.2198268688255,19.9245254225626,27.1264749342542,24.9380830234799,24.7842052660788,20.9685141857418,20.8285657265631,27.5211032354613,30.4129042059423,19.8276291760985,24.8624604738422,25.2820502473642,25.1071501567296,21.4079208187278,29.4041376449868,26.8823181707196,27.1314852719207,28.7196150178772,22.311065156419
23.2128174072877,25.898159343215,26.9296789191731,21.6076515641206,18.3877314009651,31.4128417273713,27.4634048825448,21.8343174760873,27.1625986624636,25.8978609884723,24.7265217237738,24.9256095308251,29.7232729206462,23.2576797705288,20.8090127847153,28.1474073755565,18.9591561860237,26.8700636756552,24.9329194869303,24.3737722654087,20.0377485012929,20.0750930852765,27.1701249072645,30.1584659463908,19.2595168419582,24.6527357393646,25.0114204151141,25.2426415722743,20.1161007906796,28.7252446329437,26.7515656461821,27.1411623998176,28.434643026845,21.7526607105584
23.1936968699408,25.6456273820873,26.5209882628662,21.2351934045752,17.6539126415578,31.1544458996881,27.0699266455008,21.6403100719257,26.9799458773676,25.6045562480891,24.5774129171867,24.1289020971793,29.0261967160201,23.0905273854953,20.5755770423799,27.771450727537,18.2607181760267,26.8357474850096,24.6507543971112,24.041281650485,19.2742574545897,19.3807059125453,26.7100023048371,30.0897980202902,19.0703567127032,24.4942191361428,24.62727714365,25.3996420083901,19.0352910598675,27.9721762768027,26.3502559867508,27.1249991309435,27.9462277883644,21.4027940810252
23.2379704466135,25.0413936390967,26.1281051779467,20.6755343552702,16.8787588260001,30.7862382831142,26.8112088144089,21.3951803660779,26.5472817373701,25.0239445989481,24.2854645628503,23.5438604501936,28.3477777402991,22.5496871264669,20.3435839790469,27.137058449827,17.7644200102182,26.9609947335956,24.0669142595974,23.6518660485318,18.5357874908829,18.6787485670588,26.1271755730457,29.959220970159,18.9450980871338,24.2323754899334,23.9448204830473,25.2357549060703,18.1235131397688,27.3108574024333,25.5498487337652,26.9737900633037,27.3022102885628,21.1640505789225
23.1921896853536,24.2238007416782,25.7382507640953,19.987108912438,16.1399600328176,30.2612954659902,26.5744484850469,20.9691027194291,25.8259859387401,24.1705588082511,23.7113245267967,23.1502992214459,27.7616246916747,21.5071307171298,19.9927585018757,26.4343971002249,17.3334705593551,27.0970182621817,23.2572359203176,23.1732223915984,17.6992119963077,17.9730570273417,25.3920398692537,29.6219312758396,18.6794726363153,23.7817748768291,23.0214732673417,24.7046845815663,17.2863528999881,26.8070700211017,24.4236495908906,26.6180165730227,26.6555199203257,20.9079038628814
22.973967497299,23.361987007282,25.3053914302335,19.2034458693558,15.4259560569984,29.5282850136158,26.2380050915499,20.3259284247958,24.8865478569893,23.2287576457589,22.853870156346,22.7930899874354,27.1827084040535,20.1531811236472,19.4282849552668,25.7627088940006,16.8493038844481,27.0824903867556,22.325435352623,22.622327107416,16.7177323266325,17.2724949809492,24.4953285176284,29.022407884534,18.2132070639208,23.0720898010759,21.9935793468215,23.9667178552724,16.5371929860204,26.4095082375611,23.1835651181859,25.9902376720506,26.0606781894253,20.4861351429812
22.538415387356,22.5387745063678,24.7607938054998,18.3195569599245,14.6584228931388,28.5549221190078,25.6538366448355,19.5527658025249,23.808932833595,22.2898810476957,21.8387803441206,22.3482017966341,26.4602644114688,18.8041945873304,18.5537222673807,25.0750106286258,16.2277140816542,26.8382584312986,21.3096382442802,21.9148303065401,15.6553979914473,16.4964845362976,23.4606073005194,28.1983754019177,17.5936535206105,22.1226225221689,20.9191607047192,23.1712554221436,15.7850569386077,25.9807680537715,22.0303870402767,25.0731667374996,25.3817676424121,19.8031246102494
21.942861543245,21.7189790365988,24.0742791173714,17.3416118705523,13.7935698550683,27.418034453448,24.6668182978348,18.6257913060358,22.6317787843704,21.2874687952482,20.8002519434344,21.8464347813653,25.5191185518878,17.6648672462548,17.4146482224364,24.3501503588016,15.4203875283444,26.3965668643927,20.1793011113275,21.02431438748,14.5619959465444,15.6539147744443,22.2998036284006,27.2367973430409,16.8972279157166,21.0535379616768,19.7970757169635,22.3603453461911,14.9648282279592,25.3650837209901,21.0443030488122,23.9890700350364,24.592075858387,18.853770980836
